stock_code,Stknme,industry,Nindnme
600143,金发科技,C4,石油、化学、塑胶、塑料
600145,退市新亿,C61,非金属矿物制品业
600146,退市环球,C13,服装及其他纤维制品制造业
600148,长春一东,C75,交通运输设备制造业
600149,廊坊发展,D01,电力、蒸汽、热水的生产和供应业
600150,中国船舶,C75,交通运输设备制造业
600151,航天机电,G,信息技术业
600152,维科技术,C76,电器机械及器材制造业
600153,建发股份,H,批发和零售贸易
600155,华创云信,I21,证券、期货业
600156,华升股份,C11,纺织业
600157,永泰能源,D01,电力、蒸汽、热水的生产和供应业
600158,中体产业,L99,其他传播、文化服务业
600159,大龙地产,J,房地产业
600160,巨化股份,C43,化学原料及化学制品制造业
600161,天坛生物,C81,医药制造业
600162,香江控股,J,房地产业
600163,中闽能源,D01,电力、蒸汽、热水的生产和供应业
600165,*ST 宁科,C43,化学原料及化学制品制造业
600166,福田汽车,C75,交通运输设备制造业
600167,联美控股,D01,电力、蒸汽、热水的生产和供应业
600168,武汉控股,D05,自来水的生产和供应业
600169,太原重工,C73,专用设备制造业
600170,上海建工,E01,土木工程建筑业
600171,上海贝岭,G,信息技术业
600172,黄河旋风,C61,非金属矿物制品业
600173,卧龙地产,J,房地产业
600175,退市美都,M,综合类
600176,中国巨石,C61,非金属矿物制品业
600177,雅戈尔,C13,服装及其他纤维制品制造业
600178,东安动力,C75,交通运输设备制造业
600179,安通控股,F11,交通运输辅助业
600180,瑞茂通,H,批发和零售贸易
600181,S*ST 云大,C43,化学原料及化学制品制造业
600182,S 佳通,C4,石油、化学、塑胶、塑料
600183,生益科技,G,信息技术业
600184,光电股份,C73,专用设备制造业
600185,格力地产,J,房地产业
600186,莲花控股,C03,食品制造业
600187,国中水务,D05,自来水的生产和供应业
600188,兖矿能源,B01,煤炭采选业
600189,泉阳泉,C05,饮料制造业
600190,ST 锦港,F07,水上运输业
600191,华资实业,C01,食品加工业
600192,长城电工,C76,电器机械及器材制造业
600193,创兴资源,E05,装修装饰业
600195,中牧股份,C81,医药制造业
600196,复星医药,C81,医药制造业
600197,伊力特,C05,饮料制造业
600198,大唐电信,G,信息技术业
600199,金种子酒,C05,饮料制造业
600200,江苏吴中,C81,医药制造业
600201,生物股份,C81,医药制造业
600202,哈空调,C76,电器机械及器材制造业
600203,福日电子,G,信息技术业
600205,S 山东铝,C67,有色金属冶炼及压延加工业
600206,有研新材,C67,有色金属冶炼及压延加工业
600207,安彩高科,D03,煤气生产和供应业
600208,衢州发展,J,房地产业
600209,退市罗顿,E05,装修装饰业
600210,紫江企业,C4,石油、化学、塑胶、塑料
600211,西藏药业,C81,医药制造业
600212,绿能慧充,M,综合类
600213,*ST 亚星,C75,交通运输设备制造业
600215,派斯林,J,房地产业
600216,浙江医药,C81,医药制造业
600217,中再资环,B07,有色金属矿采选业
600218,全柴动力,C71,普通机械制造业
600219,南山铝业,C67,有色金属冶炼及压延加工业
600220,ST 阳光,C11,纺织业
600221,海航控股,F09,航空运输业
600222,太龙药业,C81,医药制造业
600223,福瑞达,J,房地产业
600225,退市卓朗,J,房地产业
600226,亨通股份,G87,计算机应用服务业
600227,赤天化,C81,医药制造业
600228,返利科技,G87,计算机应用服务业
600229,城市传媒,L01,出版业
600230,沧州大化,C43,化学原料及化学制品制造业
600231,凌钢股份,C65,黑色金属冶炼及压延加工业
600232,金鹰股份,C11,纺织业
600233,圆通速递,K10,邮政服务业
600234,*ST 科新,G,信息技术业
600235,民丰特纸,C31,造纸及纸制品业
600236,桂冠电力,D01,电力、蒸汽、热水的生产和供应业
600237,铜峰电子,G,信息技术业
600238,海南椰岛,C05,饮料制造业
600239,云南城投,J,房地产业
600240,退市华业,J,房地产业
600241,时代万恒,C76,电器机械及器材制造业
600242,退市中昌,G87,计算机应用服务业
600243,青海华鼎,C71,普通机械制造业
600246,万通发展,J,房地产业
600247,*ST 成城,H,批发和零售贸易
600248,陕建股份,E01,土木工程建筑业
600249,两面针,C43,化学原料及化学制品制造业
600250,南京商旅,H,批发和零售贸易
600251,冠农股份,C01,食品加工业
600252,中恒集团,C81,医药制造业
600253,天方药业,C81,医药制造业
600255,鑫科材料,C67,有色金属冶炼及压延加工业
600256,广汇能源,B03,石油和天然气开采业
600257,大湖股份,A07,渔业
600258,首旅酒店,K32,旅馆业
600259,广晟有色,B07,有色金属矿采选业
600260,*ST 凯乐,G,信息技术业
600261,阳光照明,C76,电器机械及器材制造业
600262,北方股份,C73,专用设备制造业
600263,路桥建设,E01,土木工程建筑业
600265,景谷林业,A03,林业
600266,城建发展,J,房地产业
600267,海正药业,C81,医药制造业
600268,国电南自,C76,电器机械及器材制造业
600269,赣粤高速,F03,公路运输业
600270,外运发展,F11,交通运输辅助业
600271,航天信息,G,信息技术业
600272,开开实业,H11,零售业
600273,嘉化能源,C43,化学原料及化学制品制造业
600275,退市昌鱼,C01,食品加工业
600276,恒瑞医药,C81,医药制造业
600277,ST 亿利,C43,化学原料及化学制品制造业
600278,东方创业,H,批发和零售贸易
600279,重庆港,F07,水上运输业
600280,中央商场,H11,零售业
600281,华阳新材,C67,有色金属冶炼及压延加工业
600282,南钢股份,C65,黑色金属冶炼及压延加工业
600283,钱江水利,D05,自来水的生产和供应业
600284,浦东建设,E01,土木工程建筑业
600285,羚锐制药,C81,医药制造业
600286,S*ST 国瓷,C61,非金属矿物制品业
600287,ST 舜天,H,批发和零售贸易
600288,大恒科技,G,信息技术业
600289,*ST 信通,G87,计算机应用服务业
600290,*ST 华仪,C76,电器机械及器材制造业
600291,退市西水,I11,保险业
600292,远达环保,K99,其他社会服务业
600293,三峡新材,C61,非金属矿物制品业
600295,鄂尔多斯,C65,黑色金属冶炼及压延加工业
600296,S 兰铝,C67,有色金属冶炼及压延加工业
600297,广汇汽车,H11,零售业
600298,安琪酵母,C03,食品制造业
600299,安迪苏,C81,医药制造业
600300,维维股份,C05,饮料制造业
600301,华锡有色,C43,化学原料及化学制品制造业
600302,标准股份,C73,专用设备制造业
600303,ST 曙光,C75,交通运输设备制造业
600305,恒顺醋业,C03,食品制造业
600306,退市商城,H11,零售业
600307,酒钢宏兴,C65,黑色金属冶炼及压延加工业
600308,华泰股份,C31,造纸及纸制品业
600309,万华化学,C43,化学原料及化学制品制造业
600310,广西能源,D01,电力、蒸汽、热水的生产和供应业
600311,*ST 荣华,B07,有色金属矿采选业
600312,平高电气,C76,电器机械及器材制造业
600313,农发种业,A01,农业
600315,上海家化,C43,化学原料及化学制品制造业
600316,洪都航空,C75,交通运输设备制造业
600317,营口港,F07,水上运输业
600318,新力金融,I99,其他金融业
600319,亚星化学,C43,化学原料及化学制品制造业
600320,振华重工,C73,专用设备制造业
600321,正源股份,C21,木材加工及竹、藤、棕、草制品业
600322,津投城开,J,房地产业
600323,瀚蓝环境,K99,其他社会服务业
600325,华发股份,J,房地产业
600326,西藏天路,C61,非金属矿物制品业
600327,大东方,H11,零售业
600328,中盐化工,C43,化学原料及化学制品制造业
600329,达仁堂,C81,医药制造业
600330,天通股份,G,信息技术业
600331,宏达股份,C67,有色金属冶炼及压延加工业
600332,白云山,C81,医药制造业
600333,长春燃气,D03,煤气生产和供应业
600335,国机汽车,H,批发和零售贸易
600336,澳柯玛,C76,电器机械及器材制造业
600337,美克家居,H11,零售业
600338,西藏珠峰,B07,有色金属矿采选业
600339,中油工程,B50,采掘服务业
600340,华夏幸福,J,房地产业
600343,航天动力,C73,专用设备制造业
600345,长江通信,G,信息技术业
600346,恒力石化,C47,化学纤维制造业
600348,华阳股份,B01,煤炭采选业
600350,山东高速,F03,公路运输业
600351,亚宝药业,C81,医药制造业
600352,浙江龙盛,C43,化学原料及化学制品制造业
600353,旭光电子,G,信息技术业
600354,敦煌种业,A01,农业
600355,精伦电子,G,信息技术业
600356,恒丰纸业,C31,造纸及纸制品业
600357,承德钒钛,C65,黑色金属冶炼及压延加工业
600358,ST 联合,G87,计算机应用服务业
600359,新农开发,A01,农业
600360,ST 华微,G,信息技术业
600361,创新新材,C67,有色金属冶炼及压延加工业
600362,江西铜业,C67,有色金属冶炼及压延加工业
600363,联创光电,G,信息技术业
600365,ST 通葡,C05,饮料制造业
600366,宁波韵升,C61,非金属矿物制品业
600367,红星发展,C43,化学原料及化学制品制造业
600368,五洲交通,F03,公路运输业
600369,西南证券,I21,证券、期货业
600370,三房巷,C43,化学原料及化学制品制造业
600371,万向德农,A01,农业
600372,中航机载,C75,交通运输设备制造业
600373,中文传媒,L01,出版业
600375,*ST 汉马,C75,交通运输设备制造业
600376,首开股份,J,房地产业
600377,宁沪高速,F03,公路运输业
600378,昊华科技,C43,化学原料及化学制品制造业
600379,宝光股份,C76,电器机械及器材制造业
600380,健康元,C81,医药制造业
600381,ST 春天,C03,食品制造业
600382,广东明珠,H,批发和零售贸易
600383,金地集团,J,房地产业
600385,退市金泰,C81,医药制造业
600386,北巴传媒,H11,零售业
600387,*ST 海越,H,批发和零售贸易
600388,龙净环保,C73,专用设备制造业
600389,江山股份,C43,化学原料及化学制品制造业
600390,五矿资本,I99,其他金融业
600391,航发科技,C75,交通运输设备制造业
600392,盛和资源,C67,有色金属冶炼及压延加工业
600393,ST 粤泰,J,房地产业
600395,盘江股份,B01,煤炭采选业
600396,华电辽能,D01,电力、蒸汽、热水的生产和供应业
600397,安源煤业,B01,煤炭采选业
600398,海澜之家,C13,服装及其他纤维制品制造业
600399,抚顺特钢,C65,黑色金属冶炼及压延加工业
